key,english,tchinese
modgripmagpulrvgDesc,"Weight: [4FBE28]0.080kg[-]\nErgonomics: [4FBE28]+20%[-]\nHipfire Accuracy: [4FBE28]+10%[-]\nRecoil: [4FBE28]-6%[-]\n\nCompatibility: General grip fits on most firearms. Enables side attachments like laser/light on guns with shorter handguards.",重量：[4FBE28]0.080kg[-]\n人機功效：[4FBE28]+20%[-]\n腰射準確度：[4FBE28]+10%[-]\n後座力：[4FBE28]-6%[-]\n\n相容性：通用握把適用於大多數槍械。允許在短護木的槍械上安裝側邊配件，如雷射/燈光。
modgripzenitrk1,"[BB00FF]Zenit RK-1 Vertical Grip[-]",[BB00FF]Zenit RK-1 垂直握把[-]
modgripzenitrk1Desc,"Weight: [4FBE28]0.170kg[-]\nErgonomics: [4FBE28]+30%[-]\nHipfire Accuracy: [4FBE28]+15%[-]\nRecoil: [4FBE28]-10%[-]\n\nCompatibility: General grip fits on most firearms. Enables side attachments like laser/light on guns with shorter handguards.",重量：[4FBE28]0.170kg[-]\n人機功效：[4FBE28]+30%[-]\n腰射準確度：[4FBE28]+15%[-]\n後座力：[4FBE28]-10%[-]\n\n相容性：通用握把適用於大多數槍械。允許在短護木的槍械上安裝側邊配件，如雷射/燈光。
modgripzenitb25urk1,"[BB00FF]Zenit RK-1 grip on B-25U Mount [-]",[BB00FF]Zenit RK-1 握把搭配 B-25U 安裝座[-]
modgripzenitb25urk1Desc,"Weight: [4FBE28]0.180kg[-]\nErgonomics: [4FBE28]+25%[-]\nHipfire Accuracy: [4FBE28]+20%[-]\nRecoil: [4FBE28]-8%[-]\n\nCompatibility: General grip fits on most firearms. Enables side attachments like laser/light on guns with shorter handguards.",重量：[4FBE28]0.180kg[-]\n人機功效：[4FBE28]+25%[-]\n腰射準確度：[4FBE28]+20%[-]\n後座力：[4FBE28]-8%[-]\n\n相容性：通用握把適用於大多數槍械。允許在短護木的槍械上安裝側邊配件，如雷射/燈光。
gunusp45tac,"USP 45 Tactical",USP 45 Tactical
gunusp45tacDesc,"HK USP 45 Tactical Pistol\n\nUses Ammo Type: [D3CE1D].45ACP[-], can take a silencer, can only take 'Burris FastFire3' reflex sight.\nRepaired with: [D3CE1D]Weapon Repair Kit[-]",HK USP 45 Tactical 手槍\n\n使用彈藥類型：[D3CE1D].45ACP[-]，可裝消音器，僅可安裝 'Burris FastFire3' 反射瞄準鏡。\n修復方式：[D3CE1D]武器修理包[-]
gunusp45match,"USP 45 w Match Compensator",USP 45 搭配 Match 補償器
gunusp45matchDesc,"HK USP 45 Pistol with Match Compensator\n\nUses Ammo Type: [D3CE1D].45ACP[-], can't take silencers, can only take 'Burris FastFire3' reflex sight.\nRepaired with: [D3CE1D]Weapon Repair Kit[-]",HK USP 45 手槍搭配 Match 補償器\n\n使用彈藥類型：[D3CE1D].45ACP[-]，不可裝消音器，僅可安裝 'Burris FastFire3' 反射瞄準鏡。\n修復方式：[D3CE1D]武器修理包[-]
modsilencersigsrdqd, [FFD700]SIG SRD-QD Sound Suppressor[-],[FFD700]SIG SRD-QD 消音器[-]
modsilencertt33makeshift,"TT-33 Makeshift Sound Suppressor",TT-33 簡易消音器
modmuzzlettlaserdtk,"TT Laser DTK",TT Laser DTK
modsilencerstechkinstd,"Stechkin Silencer",Stechkin 消音器
modsilencerpp9klin,"PP-9 Klin Silencer",PP-9 Klin 消音器
modmuzzlemp5btqdbrake,"[09FF00]MP5 B&T QD Muzzle Brake[-]",[09FF00]MP5 B&T QD 制退器[-]
modmuzzlemp5noveske,"[09FF00]MP5 Noveske-style Muzzle Brake[-]",[09FF00]MP5 Noveske 風格制退器[-]
modsilencerco46multi,"SilencerCo 46 Multi-caliber Sound Suppressor",SilencerCo 46 多口徑消音器
modsilencerco9osprey,"[09FF00]SilencerCo Osprey 9x19 Sound Suppressor [-]",[09FF00]SilencerCo Osprey 9x19 消音器[-]
modsilencersigsrd9,"[004CFF]SIG SRD 9×19 Sound Suppressor[-]",[004CFF]SIG SRD 9×19 消音器[-]
modmuzzlevityazbrakecompensator,"[09FF00]Vityaz Muzzle Brake-Compensator[-]",[09FF00]Vityaz 制退補償器[-]
modsilencermpxsd,"[BB00FF]MPX-SD Sound Suppressor[-]",[BB00FF]MPX-SD 消音器[-]
modmuzzlestm9brake,"[BB00FF]STM-9 Muzzle Brake[-]",[BB00FF]STM-9 制退器[-]
modmuzzlegl17carver4port,"Glock 17 Carver 4-Port Brake",Glock 17 Carver 4-Port 補償器
modmuzzlep226tjcustom,"P226 TJ Custom Muzzle Brake",P226 TJ Custom 制退器
modsilencersr1mpstd,"SR-1MP Silencer",SR-1MP 消音器
modsilencersr2msv1381,"[004CFF]SR-2M Sound Suppressor (SV-1381)[-]",[004CFF]SR-2M 消音器 (SV-1381)[-]
modmuzzle1911anarchyoutdoors,"1911 Anarchy Outdoors Muzzle Brake",1911 Anarchy Outdoors 制退器
modsilencermp7rotex2,"[004CFF]MP7 Rotex-II Sound Suppressor[-]",[004CFF]MP7 Rotex-II 消音器[-]
modsilencerp90attenuator,"[004CFF]P90 Attenuator Sound Suppressor[-]",[004CFF]P90 Attenuator 消音器[-]
modsilencer57gemtech,"Gemtech SFN-57 Sound Suppressor",Gemtech SFN-57 消音器
modsilencerak74tgpa,"[09FF00]AK-74 TGP-A Sound Suppressor[-]",[09FF00]AK-74 TGP-A 消音器[-]
modmuzzleak74jetmbr,"[BB00FF]AK-74 SRVV MBR Jet Muzzle Brake[-]",[BB00FF]AK-74 SRVV MBR Jet 制退器[-]
modmuzzleak74zenitdtk1,"[09FF00]AK Zenit DTK-1 Muzzle Brake[-]",[09FF00]AK Zenit DTK-1 制退器[-]
modsilencerhexagonAK,"[BB00FF]AK Hexagon 5.45x39/7.62x39 Sound Suppressor[-]",[BB00FF]AK Hexagon 5.45x39/7.62x39 消音器[-]
modmuzzleak12std,"[BB00FF]AK-12 Muzzle Brake[-]",[BB00FF]AK-12 制退器[-]
modsilencerak12std,"[BB00FF]AK-12 Silencer[-]",[BB00FF]AK-12 消音器[-]
modmuzzlerpdbrakecompensator,"[BB00FF]RPD Muzzle Brake-Compensator[-]",[BB00FF]RPD 制退補償器[-]
modmuzzle_mosin_tacfire_tanker_style_762x54r,"[09FF00]Mosin Tacfire Tanker Muzzle Brake[-]",[09FF00]Mosin Tacfire Tanker 制退器[-]
modsilencer_mosin_bramit_std_762x54r,"[09FF00]Mosin Bramit Sound Suppressor[-]",[09FF00]Mosin Bramit 消音器[-]
modsilencerSV98std,"[004CFF]SV-98 Sound Suppressor[-]",[004CFF]SV-98 消音器[-]
modmuzzleSV98mk2SRVV,"[004CFF]SV-98 SRVV Muzzle Brake-Compensator[-]",[004CFF]SV-98 SRVV 制退補償器[-]
modSVDmuzzlebrakecompensator,"[004CFF]SVDS Muzzle Brake-Compensator[-]",[004CFF]SVDS 制退補償器[-]
modsilencerSVDrotor43,"[004CFF]SVDS Rotor 43 Sound Suppressor[-]",[004CFF]SVDS Rotor 43 消音器[-]
modmuzzlepkzenitdtk,"[FFD700]PK Zenit DTK-1P Muzzle Brake[-]",[FFD700]PK Zenit DTK-1P 制退器[-]
modmuzzleash12std,"[BB00FF]ASH-12 Muzzle Brake[-]",[BB00FF]ASH-12 制退器[-]
modsilencerash12std,"[BB00FF]ASH-12 Silencer[-]",[BB00FF]ASH-12 消音器[-]
modsilencergriffinm4sdk,"[09FF00]Griffin M4SD-K Sound Suppressor[-]",[09FF00]Griffin M4SD-K 消音器[-]
modsilencersocomrc2,"[004CFF]SOCOM556-RC2 Sound Suppressor[-]",[004CFF]SOCOM556-RC2 消音器[-]
modmuzzle_ar15_ferfrans_muzzle_brake_556x45,"[09FF00]AR-15 Ferfrans CQB Muzzle Brake[-]",[09FF00]AR-15 Ferfrans CQB 制退器[-]
modmuzzle_ar15_double_star_carlson_tac_comp_556x45,"[004CFF]AR-15 DoubleStar CTC Compensator[-]",[004CFF]AR-15 DoubleStar CTC 補償器[-]
modmuzzle_ar15_alientech_gubich_muzzle_brake_556x45,"[BB00FF]AR-15 AlienTech Muzzle Brake[-]",[BB00FF]AR-15 AlienTech 制退器[-]
modmuzzleAR10thunderbeast30cb,"[004CFF]AR-10 Thunder Beast 30CB Muzzle Brake[-]",[004CFF]AR-10 Thunder Beast 30CB 制退器[-]
modmuzzleAR15thunderbeast223cb,"[004CFF]AR-15 Thunder Beast 223CB Muzzle Brake[-]",[004CFF]AR-15 Thunder Beast 223CB 制退器[-]
modsilencerthunderbeastultra5,"[004CFF]Thunder Beast Ultra 5 Sound Suppressor[-]",[004CFF]Thunder Beast Ultra 5 消音器[-]
modsilencersdnaacmulti,"[FFD700]AAC SDN-6 Sound Suppressor[-]",[FFD700]AAC SDN-6 消音器[-]
modmuzzle_ar10_precision_armament_m11_severe_duty_muzzle_brake_762x51,"[004CFF]AR-10 PA M11 Severe-Duty Muzzle Brake[-]",[004CFF]AR-10 PA M11 Severe-Duty 制退器[-]
modmuzzleAR10kacqdc,"[BB00FF]AR-10 KAC QDC Muzzle Brake[-]",[BB00FF]AR-10 KAC QDC 制退器[-]
modsilencerprskacqdc,"[BB00FF]KAC PRS/QDC Sound Suppressor[-]",[BB00FF]KAC PRS/QDC 消音器[-]
modmuzzle_ar10_lantac_dgn762b_muzzle_brake_762x51,"[FFD700]AR-10 Lantac Dragon Muzzle Brake-Compensator[-]",[FFD700]AR-10 Lantac Dragon 制動補償器[-]
modsilencerbtg28qd762,"[BB00FF]HK G28 B&T QD Sound Suppressor[-]",[BB00FF]HK G28 B&T QD 消音器[-]
modsilencerSIGclutchlokQD,"[FFD700]MCX-SPEAR SLX68-MG-QD Sound Suppressor[-]",[FFD700]MCX-SPEAR SLX68-MG-QD 消音器[-]
modmuzzlesigtwoportbrake,"[BB00FF]SIG Two Port Brake[-]",[BB00FF]SIG Two Port 制退器[-]
modsilencersigsrd762ti,"[09FF00]SIG SRD762Ti Sound Suppressor[-]",[09FF00]SIG SRD762Ti 消音器[-]
modmuzzleAI338LMtactical,"[FFD700]AI .338 LM Muzzle Brake[-]",[FFD700]AI .338 LM 制退器[-]
modsilencerAI338LMsoundmoderator,"[FFD700]AI .338 LM Sound Suppressor[-]",[FFD700]AI .338 LM 消音器[-]
modsilencertt33makeshiftDesc,"Weight: [4FBE28]0.320kg[-]\nRecoil: [4FBE28]-10%[-]\nErgonomics: [FF4F33]-10%[-]\nHipfire Accuracy: [FF4F33]-10%[-]\nDurability Burn: [FF4F33]+25%[-]\n\nCompatibility: TT-33",重量：[4FBE28]0.320kg[-]\n後座力：[4FBE28]-10%[-]\n人機功效：[FF4F33]-10%[-]\n腰射準確度：[FF4F33]-10%[-]\n耐久消耗：[FF4F33]+25%[-]\n相容性：TT-33
modmuzzlettlaserdtkDesc,"Weight: [4FBE28]0.036kg[-]\nRecoil: [4FBE28]-15%[-]\n\nCompatibility: TT-33",重量：[4FBE28]0.036kg[-]\n後座力：[4FBE28]-15%[-]\n相容性：TT-33
modsilencerstechkinstdDesc,"Weight: [4FBE28]0.490kg[-]\nRecoil: [4FBE28]-16%[-]\nErgonomics: [FF4F33]-12%[-]\nHipfire Accuracy: [FF4F33]-12%[-]\nDurability Burn: [FF4F33]+25%[-]\n\nCompatibility: Stechkin APS",重量：[4FBE28]0.490kg[-]\n後座力：[4FBE28]-16%[-]\n人機功效：[FF4F33]-12%[-]\n腰射準確度：[FF4F33]-12%[-]\n耐久消耗：[FF4F33]+25%[-]\n相容性：Stechkin APS
modsilencerpp9klinDesc,"Weight: [4FBE28]0.200kg[-]\nRecoil: [4FBE28]-18%[-]\nErgonomics: [FF4F33]-10%[-]\nHipfire Accuracy: [FF4F33]-10%[-]\nDurability Burn: [FF4F33]+25%[-]\n\nCompatibility: PP-9",重量：[4FBE28]0.200kg[-]\n後座力：[4FBE28]-18%[-]\n人機功效：[FF4F33]-10%[-]\n腰射準確度：[FF4F33]-10%[-]\n耐久消耗：[FF4F33]+25%[-]\n相容性：PP-9
modmuzzlemp5btqdbrakeDesc,"Weight: [4FBE28]0.128kg[-]\nRecoil: [4FBE28]-16%[-]\n\nCompatibility: MP5",重量：[4FBE28]0.128kg[-]\n後座力：[4FBE28]-16%[-]\n相容性：MP5
modmuzzlemp5noveskeDesc,"Weight: [4FBE28]0.380kg[-]\nRecoil: [4FBE28]-22%[-]\n\nCompatibility: MP5",重量：[4FBE28]0.380kg[-]\n後座力：[4FBE28]-22%[-]\n相容性：MP5
modsilencerco46multiDesc,"Weight: [4FBE28]0.490kg[-]\nRecoil: [4FBE28]-14%[-]\nErgonomics: [FF4F33]-18%[-]\nHipfire Accuracy: [FF4F33]-18%[-]\nDurability Burn: [FF4F33]+25%[-]\n\nCompatibility: Most Firearms chambered in 9×19, 5.45×39, 5.56×45, 7.62×39 & 7.62×51",重量：[4FBE28]0.490kg[-]\n後座力：[4FBE28]-14%[-]\n人機功效：[FF4F33]-18%[-]\n腰射準確度：[FF4F33]-18%[-]\n耐久消耗：[FF4F33]+25%[-]\n相容性：適用於大多數使用 9×19、5.45×39、5.56×45、7.62×39 和 7.62×51 彈藥的槍械
modsilencerUziProDesc,"Weight: [4FBE28]0.680kg[-]\nRecoil: [4FBE28]-18%[-]\nErgonomics: [FF4F33]-18%[-]\nHipfire Accuracy: [FF4F33]-18%[-]\nDurability Burn: [FF4F33]+20%[-]\n\nCompatibility: MP-5, MP9-N, PP-19-01, Vector 9, STM-9, Glock 17, P226R, M9A3",重量：[4FBE28]0.680kg[-]\n後座力：[4FBE28]-18%[-]\n人機功效：[FF4F33]-18%[-]\n腰射準確度：[FF4F33]-18%[-]\n耐久消耗：[FF4F33]+20%[-]\n相容性：MP-5、MP9-N、PP-19-01、Vector 9、STM-9、Glock 17、P226R、M9A3
modmuzzlevityazbrakecompensatorDesc,"Weight: [4FBE28]0.070kg[-]\nRecoil: [4FBE28]-16%[-]\n\nCompatibility: PP-19-01",重量: [4FBE28]0.070kg[-]\n後座力: [4FBE28]-16%[-]\n\n相容性: PP-19-01  
modsilencermpxsdDesc,"Weight: [4FBE28]0.600kg[-]\nRecoil: [4FBE28]-22%[-]\nErgonomics: [FF4F33]-16%[-]\nHipfire Accuracy: [FF4F33]-16%[-]\nDurability Burn: [FF4F33]+25%[-]\n\nCompatibility: SIG MPX",重量: [4FBE28]0.600kg[-]\n後座力: [4FBE28]-22%[-]\n人機功效: [FF4F33]-16%[-]\n腰射準確度: [FF4F33]-16%[-]\n耐久消耗: [FF4F33]+25%[-]\n\n相容性: SIG MPX  
modmuzzlestm9brakeDesc,"Weight: [4FBE28]0.084kg[-]\nRecoil: [4FBE28]-26%[-]\n\nCompatibility: STM-9",重量: [4FBE28]0.084kg[-]\n後座力: [4FBE28]-26%[-]\n\n相容性: STM-9  
modmuzzlegl17carver4portDesc,"Weight: [4FBE28]0.063kg[-]\nRecoil: [4FBE28]-16%[-]\n\nCompatibility: Glock 17",重量: [4FBE28]0.063kg[-]\n後座力: [4FBE28]-16%[-]\n\n相容性: Glock 17  
modmuzzlep226tjcustomDesc,"Weight: [4FBE28]0.036kg[-]\nRecoil: [4FBE28]-16%[-]\n\nCompatibility: P226R",重量: [4FBE28]0.036kg[-]\n後座力: [4FBE28]-16%[-]\n\n相容性: P226R  
modsilencersr1mpstdDesc,"Weight: [4FBE28]0.490kg[-]\nRecoil: [4FBE28]-14%[-]\nErgonomics: [FF4F33]-15%[-]\nHipfire Accuracy: [FF4F33]-15%[-]\nDurability Burn: [FF4F33]+25%[-]\n\nCompatibility: SR-1MP",重量: [4FBE28]0.490kg[-]\n後座力: [4FBE28]-14%[-]\n人機功效: [FF4F33]-15%[-]\n腰射準確度: [FF4F33]-15%[-]\n耐久消耗: [FF4F33]+25%[-]\n\n相容性: SR-1MP
modsilencersr2msv1381Desc,"Weight: [4FBE28]0.575kg[-]\nRecoil: [4FBE28]-12%[-]\nErgonomics: [FF4F33]-15%[-]\nHipfire Accuracy: [FF4F33]-15%[-]\nDurability Burn: [FF4F33]+25%[-]\n\nCompatibility: SR-2M",重量: [4FBE28]0.575kg[-]\n後座力: [4FBE28]-12%[-]\n人機功效: [FF4F33]-15%[-]\n腰射準確度: [FF4F33]-15%[-]\n耐久消耗: [FF4F33]+25%[-]\n\n相容性: SR-2M  
modmuzzle1911anarchyoutdoorsDesc,"Weight: [4FBE28]0.100kg[-]\nRecoil: [4FBE28]-20%[-]\n\nCompatibility: M1911, M45A1","重量: [4FBE28]0.100kg[-]\n後座力: [4FBE28]-20%[-]\n\n相容性: M1911, M45A1  "
modsilencermp7rotex2Desc,"Weight: [4FBE28]0.607kg[-]\nRecoil: [4FBE28]-22%[-]\nErgonomics: [FF4F33]-18%[-]\nHipfire Accuracy: [FF4F33]-18%[-]\nDurability Burn: [FF4F33]+25%[-]\n\nCompatibility: MP7A1",重量: [4FBE28]0.607kg[-]\n後座力: [4FBE28]-22%[-]\n人機功效: [FF4F33]-18%[-]\n腰射準確度: [FF4F33]-18%[-]\n耐久消耗: [FF4F33]+25%[-]\n\n相容性: MP7A1  
modsilencerp90attenuatorDesc,"Weight: [4FBE28]0.677kg[-]\nRecoil: [4FBE28]-22%[-]\nErgonomics: [FF4F33]-18%[-]\nHipfire Accuracy: [FF4F33]-18%[-]\nDurability Burn: [FF4F33]+25%[-]\n\nCompatibility: P90",重量: [4FBE28]0.677kg[-]\n後座力: [4FBE28]-22%[-]\n人機功效: [FF4F33]-18%[-]\n腰射準確度: [FF4F33]-18%[-]\n耐久消耗: [FF4F33]+25%[-]\n\n相容性: P90  
modsilencer57gemtechDesc,"Weight: [4FBE28]0.150kg[-]\nRecoil: [4FBE28]-12%[-]\nErgonomics: [FF4F33]-15%[-]\nHipfire Accuracy: [FF4F33]-15%[-]\nDurability Burn: [FF4F33]+25%[-]\n\nCompatibility: FN FiveSeven",重量: [4FBE28]0.150kg[-]\n後座力: [4FBE28]-12%[-]\n人機功效: [FF4F33]-15%[-]\n腰射準確度: [FF4F33]-15%[-]\n耐久消耗: [FF4F33]+25%[-]\n\n相容性: FN FiveSeven  
modsilencerak74tgpaDesc,"Weight: [4FBE28]0.700kg[-]\nRecoil: [4FBE28]-14%[-]\nErgonomics: [FF4F33]-20%[-]\nHipfire Accuracy: [FF4F33]-20%[-]\nDurability Burn: [FF4F33]+25%[-]\n\nCompatibility: AK-74N/M, AKS-74UN, AK-107","重量: [4FBE28]0.700kg[-]\n後座力: [4FBE28]-14%[-]\n人機功效: [FF4F33]-20%[-]\n腰射準確度: [FF4F33]-20%[-]\n耐久消耗: [FF4F33]+25%[-]\n\n相容性: AK-74N/M, AKS-74UN, AK-107  "
modmuzzleak74hexagonreactorDesc,"Weight: [4FBE28]0.095kg[-]\nRecoil: [4FBE28]-24%[-]\n\nCompatibility: AK-74N/M, AK-107\n\nActs as an adapter for 'AK-74 Hexagon Wafflemaker'","重量: [4FBE28]0.095kg[-]\n後座力: [4FBE28]-24%[-]\n\n相容性: AK-74N/M, AK-107\n\n充當 'AK-74 Hexagon Wafflemaker' 的轉接器  "
modsilencerak74hexagonwaffleDesc,"Weight: [4FBE28]0.290kg[-]\nRecoil: [4FBE28]-18%[-]\nErgonomics: [FF4F33]-15%[-]\nHipfire Accuracy: [FF4F33]-15%[-]\nDurability Burn: [FF4F33]+25%[-]\n\nCompatibility: AK-74N/M and AK-107\n\nRequires adapter: 'AK Hexagon Reactor'",重量: [4FBE28]0.290kg[-]\n後座力: [4FBE28]-18%[-]\n人機功效: [FF4F33]-15%[-]\n腰射準確度: [FF4F33]-15%[-]\n耐久消耗: [FF4F33]+25%[-]\n\n相容性: AK-74N/M and AK-107\n\n需要轉接器: 'AK Hexagon Reactor'  
modmuzzleak74jetmbrDesc,"Weight: [4FBE28]0.110kg[-]\nRecoil: [4FBE28]-20%[-]\n\nCompatibility: AKS-74UN, AK-74N/M, RPK-16, AK-107","重量: [4FBE28]0.110kg[-]\n後座力: [4FBE28]-20%[-]\n\n相容性: AKS-74UN, AK-74N/M, RPK-16, AK-107  "
modmuzzleak74zenitdtk1Desc,"Weight: [4FBE28]0.128kg[-]\nRecoil: [4FBE28]-18%[-]\n\nCompatibility: AKS-74UN, AK-74N/M, RPK-16, AK-107, SKS","重量: [4FBE28]0.128kg[-]\n後座力: [4FBE28]-18%[-]\n\n相容性: AKS-74UN, AK-74N/M, RPK-16, AK-107, SKS  "
modsilencerhexagonAKDesc,"Weight: [4FBE28]0.462kg[-]\nRecoil: [4FBE28]-22%[-]\nErgonomics: [FF4F33]-15%[-]\nHipfire Accuracy: [FF4F33]-15%[-]\nDurability Burn: [FF4F33]+25%[-]\n\nCompatibility: AK-74N/M, RPK-16, AK-107, SKS, AKMN, AK-103, AK-109","重量: [4FBE28]0.462kg[-]\n後座力: [4FBE28]-22%[-]\n人機功效: [FF4F33]-15%[-]\n腰射準確度: [FF4F33]-15%[-]\n耐久消耗: [FF4F33]+25%[-]\n\n相容性: AK-74N/M, RPK-16, AK-107, SKS, AKMN, AK-103, AK-109  "
modmuzzleak12stdDesc,"Weight: [4FBE28]0.100kg[-]\nRecoil: [4FBE28]-22%[-]\n\nCompatibility: AK-12",重量: [4FBE28]0.100kg[-]\n後座力: [4FBE28]-22%[-]\n\n相容性: AK-12  
modsilencerak12stdDesc,"Weight: [4FBE28]0.450kg[-]\nRecoil: [4FBE28]-24%[-]\nErgonomics: [FF4F33]-15%[-]\nHipfire Accuracy: [FF4F33]-15%[-]\nDurability Burn: [FF4F33]+25%[-]\n\nCompatibility: AK-12",重量: [4FBE28]0.450kg[-]\n後座力: [4FBE28]-24%[-]\n人機功效: [FF4F33]-15%[-]\n腰射準確度: [FF4F33]-15%[-]\n耐久消耗: [FF4F33]+25%[-]\n\n相容性: AK-12  
modmuzzlerpdbrakecompensatorDesc,"Weight: [4FBE28]0.124kg[-]\nRecoil: [4FBE28]-16%[-]\n\nCompatibility: RPD",重量: [4FBE28]0.124kg[-]\n後座力: [4FBE28]-16%[-]\n\n相容性: RPD  
modmuzzle_mosin_tacfire_tanker_style_762x54rDesc,"Weight: [4FBE28]0.250kg[-]\nRecoil: [4FBE28]-18%[-]\n\nCompatibility: Mosin-Nagant",重量: [4FBE28]0.250kg[-]\n後座力: [4FBE28]-18%[-]\n\n相容性: Mosin-Nagant  
silencer_mosin_bramit_std_762x54rDesc,"Weight: [4FBE28]1.100kg[-]\nRecoil: [4FBE28]-14%[-]\nErgonomics: [FF4F33]-28%[-]\nHipfire Accuracy: [FF4F33]-28%[-]\nDurability Burn: [FF4F33]+25%[-]\n\nCompatibility: Mosin-Nagant",重量: [4FBE28]1.100kg[-]\n後座力: [4FBE28]-14%[-]\n人機功效: [FF4F33]-28%[-]\n腰射準確度: [FF4F33]-28%[-]\n耐久消耗: [FF4F33]+25%[-]\n\n相容性: Mosin-Nagant  
modsilencerSV98stdDesc,"Weight: [4FBE28]0.330kg[-]\nRecoil: [4FBE28]-16%[-]\nErgonomics: [FF4F33]-15%[-]\nHipfire Accuracy: [FF4F33]-15%[-]\nDurability Burn: [FF4F33]+25%[-]\n\nCompatibility: SV-98",重量: [4FBE28]0.330kg[-]\n後座力: [4FBE28]-16%[-]\n人機功效: [FF4F33]-15%[-]\n腰射準確度: [FF4F33]-15%[-]\n耐久消耗: [FF4F33]+25%[-]\n\n相容性: SV-98  
modmuzzleSV98mk2SRVVDesc,"Weight: [4FBE28]0.460kg[-]\nRecoil: [4FBE28]-24%[-]\n\nCompatibility: SV-98",重量: [4FBE28]0.460kg[-]\n後座力: [4FBE28]-24%[-]\n\n相容性: SV-98  
modmuzzlepkzenitdtkDesc,"Weight: [4FBE28]0.124kg[-]\nRecoil: [4FBE28]-12%[-]\n\nCompatibility: PKP Pecheneg",重量: [4FBE28]0.124kg[-]\n後座力: [4FBE28]-12%[-]\n\n相容性: PKP Pecheneg  
modmuzzleash12stdDesc,"Weight: [4FBE28]0.150kg[-]\nRecoil: [4FBE28]-30%[-]\n\nCompatibility: ASh-12",重量: [4FBE28]0.150kg[-]\n後座力: [4FBE28]-30%[-]\n\n相容性: ASh-12  
modsilencerash12stdDesc,"Weight: [4FBE28]0.700kg[-]\nRecoil: [4FBE28]-26%[-]\nErgonomics: [FF4F33]-15%[-]\nHipfire Accuracy: [FF4F33]-15%[-]\nDurability Burn: [FF4F33]+25%[-]\n\nCompatibility: ASh-12",重量: [4FBE28]0.700kg[-]\n後座力: [4FBE28]-26%[-]\n人機功效: [FF4F33]-15%[-]\n腰射準確度: [FF4F33]-15%[-]\n耐久消耗: [FF4F33]+25%[-]\n\n相容性: ASh-12  
modsilencergriffinm4sdkDesc,"Weight: [4FBE28]0.397kg[-]\nRecoil: [4FBE28]-26%[-]\nErgonomics: [FF4F33]-15%[-]\nHipfire Accuracy: [FF4F33]-15%[-]\nDurability Burn: [FF4F33]+30%[-]\n\nCompatibility: Most firearms chambered in 5.56×45, 5.45x39","重量: [4FBE28]0.397kg[-]\n後座力: [4FBE28]-26%[-]\n人機功效: [FF4F33]-15%[-]\n腰射準確度: [FF4F33]-15%[-]\n耐久消耗: [FF4F33]+30%[-]\n\n相容性: 適用於大多數以 5.56×45, 5.45x39 彈藥為主的槍械  "
modsilencersocomrc2Desc,"Weight: [4FBE28]0.546kg[-]\nRecoil: [4FBE28]-32%[-]\nErgonomics: [FF4F33]-18%[-]\nHipfire Accuracy: [FF4F33]-18%[-]\nDurability Burn: [FF4F33]+25%[-]\n\nCompatibility: Most firearms chambered in 5.56×45, 5.45x39","重量: [4FBE28]0.546kg[-]\n後座力: [4FBE28]-32%[-]\n人機功效: [FF4F33]-18%[-]\n腰射準確度: [FF4F33]-18%[-]\n耐久消耗: [FF4F33]+25%[-]\n\n相容性: 適用於大多數以 5.56×45, 5.45x39 彈藥為主的槍械  "
modmuzzle_ar15_ferfrans_muzzle_brake_556x45Desc,"Weight: [4FBE28]0.150kg[-]\nRecoil: [4FBE28]-15%[-]\n\nCompatibility: Most firearms chambered in 5.56×45, 5.45x39","重量: [4FBE28]0.150kg[-]\n後座力: [4FBE28]-15%[-]\n\n相容性: 適用於大多數以 5.56×45, 5.45x39 彈藥為主的槍械  "
modmuzzle_ar15_double_star_carlson_tac_comp_556x45Desc,"Weight: [4FBE28]0.208kg[-]\nRecoil: [4FBE28]-18%[-]\n\nCompatibility: Most firearms chambered in 5.56×45, 5.45x39","重量: [4FBE28]0.208kg[-]\n後座力: [4FBE28]-18%[-]\n\n相容性: 適用於大多數以 5.56×45, 5.45x39 彈藥為主的槍械"
modmuzzle_ar15_alientech_gubich_muzzle_brake_556x45Desc,"Weight: [4FBE28]0.085kg[-]\nRecoil: [4FBE28]-22%[-]\n\nCompatibility: Most firearms chambered in 5.56×45, 5.45x39",重量: [4FBE28]0.085kg[-]\n後座力: [4FBE28]-22%[-]\n\n相容性: 適用於 5.56×45、5.45x39 口徑的絕大多數槍械
modmuzzleAR15thunderbeast223cbDesc,"Weight: [4FBE28]0.109kg[-]\nRecoil: [4FBE28]-12%[-]\n\nCompatibility: Most firearms chambered in 5.56×45\n\nActs as an adapter for 'Thunder Beast Ultra 5'",重量: [4FBE28]0.109kg[-]\n後座力: [4FBE28]-12%[-]\n\n相容性: 適用於 5.56×45 口徑的絕大多數槍械\n\n充當 'Thunder Beast Ultra 5' 的轉接器
modmuzzleAR10thunderbeast30cbDesc,"Weight: [4FBE28]0.109kg[-]\nRecoil: [4FBE28]-12%[-]\n\nCompatibility: Most firearms chambered in 7.62×39 & 7.62×51\n\nActs as an adapter for 'Thunder Beast Ultra 5'",重量: [4FBE28]0.109kg[-]\n後座力: [4FBE28]-12%[-]\n\n相容性: 適用於 7.62×39、7.62×51 口徑的絕大多數槍械\n\n充當 'Thunder Beast Ultra 5' 的轉接器
