key,english,tchinese
modsilencerSGhexagon12kDesc,"Weight: [4FBE28]0.493kg[-]\nRecoil: [4FBE28]-12%[-]\nErgonomics: [FF4F33]-20%[-]\nHipfire Accuracy: [FF4F33]-20%[-]\nDurability Burn: [FF4F33]+50%[-]\n\nCompatibility: M870, KSG-12, MP-153, M3 Benelli, Saiga-12K","重量: [4FBE28]0.493kg[-]\n後座力: [4FBE28]-12%[-]\n人機功效: [FF4F33]-20%[-]\n腰射精準度: [FF4F33]-20%[-]\n耐久度消耗: [FF4F33]+50%[-]\n\n相容性: M870, KSG-12, MP-153, M3 Benelli, Saiga-12K  "
modsilencercoSalvo12Desc,"Weight: [4FBE28]0.970kg[-]\nRecoil: [4FBE28]-14%[-]\nErgonomics: [FF4F33]-25%[-]\nHipfire Accuracy: [FF4F33]-25%[-]\nDurability Burn: [FF4F33]+40%[-]\n\nCompatibility: M870, KSG-12, MP-153, M3 Benelli, Saiga-12K","重量: [4FBE28]0.970kg[-]\n後座力: [4FBE28]-14%[-]\n人機功效: [FF4F33]-25%[-]\n腰射精準度: [FF4F33]-25%[-]\n耐久度消耗: [FF4F33]+40%[-]\n\n相容性: M870, KSG-12, MP-153, M3 Benelli, Saiga-12K  "
modchokeremingtontacticalDesc,"Weight: [4FBE28]0.101kg[-]\nRecoil: [4FBE28]-12%[-]\nSpread: [4FBE28]-25%[-]\n\nCompatibility: M870, KSG-12, MP-153, M3 Benelli","重量: [4FBE28]0.101kg[-]\n後座力: [4FBE28]-12%[-]\n散佈: [4FBE28]-25%[-]\n\n相容性: M870, KSG-12, MP-153, M3 Benelli  "
modmuzzleSGgk02muzzlebrakeDesc,"Weight: [4FBE28]0.233kg[-]\nRecoil: [4FBE28]-15%[-]\n\nCompatibility: M870, KSG-12, MP-153, M3 Benelli, Saiga-12K","重量: [4FBE28]0.233kg[-]\n後座力: [4FBE28]-15%[-]\n\n相容性: M870, KSG-12, MP-153, M3 Benelli, Saiga-12K  "
modmuzzletromixmonsterclawDesc,"Weight: [4FBE28]0.340kg[-]\nRecoil: [4FBE28]-18%[-]\n\nCompatibility: M870, KSG-12, MP-153, M3 Benelli, Saiga-12K","重量: [4FBE28]0.340kg[-]\n後座力: [4FBE28]-18%[-]\n\n相容性: M870, KSG-12, MP-153, M3 Benelli, Saiga-12K  "
modchokeAA12Desc,"Weight: [4FBE28]0.101kg[-]\nRecoil: [4FBE28]-12%[-]\nSpread: [4FBE28]-30%[-]\n\nCompatibility: AA-12",重量: [4FBE28]0.101kg[-]\n後座力: [4FBE28]-12%[-]\n散佈: [4FBE28]-30%[-]\n\n相容性: AA-12  
modsilencerAA12marauderDesc,"Weight: [4FBE28]0.570kg[-]\nRecoil: [4FBE28]-10%[-]\nErgonomics: [FF4F33]-20%[-]\nHipfire Accuracy: [FF4F33]-20%[-]\nDurability Burn: [FF4F33]+40%[-]\n\nCompatibility: AA-12",重量: [4FBE28]0.570kg[-]\n後座力: [4FBE28]-10%[-]\n人機功效: [FF4F33]-20%[-]\n腰射精準度: [FF4F33]-20%[-]\n耐久度消耗: [FF4F33]+40%[-]\n\n相容性: AA-12  
modsilencerco9ospreyDesc,"Weight: [4FBE28]0.270kg[-]\nRecoil: [4FBE28]-16%[-]\nErgonomics: [FF4F33]-10%[-]\nHipfire Accuracy: [FF4F33]-10%[-]\nDurability Burn: [FF4F33]+25%[-]\n\nCompatibility: MP-5, MP9-N, PP-19-01, Vector 9, UZI, STM-9, Glock 17, P226R, M9A3","重量: [4FBE28]0.270kg[-]\n後座力: [4FBE28]-16%[-]\n人機功效: [FF4F33]-10%[-]\n腰射精準度: [FF4F33]-10%[-]\n耐久度消耗: [FF4F33]+25%[-]\n\n相容性: MP-5, MP9-N, PP-19-01, Vector 9, UZI, STM-9, Glock 17, P226R, M9A3  "
modsilencersigsrd9Desc,"Weight: [4FBE28]0.255kg[-]\nRecoil: [4FBE28]-18%[-]\nErgonomics: [FF4F33]-9%[-]\nHipfire Accuracy: [FF4F33]-9%[-]\nDurability Burn: [FF4F33]+20%[-]\n\nCompatibility: MP-5, MP9-N, PP-19-01, Vector 9, UZI, STM-9, Glock 17, P226R, M9A3","重量: [4FBE28]0.255kg[-]\n後座力: [4FBE28]-18%[-]\n人機功效: [FF4F33]-9%[-]\n腰射精準度: [FF4F33]-9%[-]\n耐久度消耗: [FF4F33]+20%[-]\n\n相容性: MP-5, MP9-N, PP-19-01, Vector 9, UZI, STM-9, Glock 17, P226R, M9A3  "
modSVDmuzzlebrakecompensatorDesc,"Weight: [4FBE28]0.080kg[-]\nRecoil: [4FBE28]-10%[-]\n\nCompatibility: SVDS 'Dragunov'\n\nActs as an adapter for 'Rotor 43'",重量: [4FBE28]0.080kg[-]\n後座力: [4FBE28]-10%[-]\n\n相容性: SVDS 'Dragunov'\n\n充當 'Rotor 43' 的轉接器  
modsilencerSVDrotor43Desc,"Weight: [4FBE28]0.180kg[-]\nRecoil: [4FBE28]-15%[-]\nErgonomics: [FF4F33]-15%[-]\nHipfire Accuracy: [FF4F33]-15%[-]\nDurability Burn: [FF4F33]+25%[-]\n\nCompatibility: SVDS 'Dragunov'\n\nRequires adapter: 'SVDS Brake-Compensator'",重量: [4FBE28]0.180kg[-]\n後座力: [4FBE28]-15%[-]\n人機功效: [FF4F33]-15%[-]\n腰射精準度: [FF4F33]-15%[-]\n耐久度消耗: [FF4F33]+25%[-]\n\n相容性: SVDS 'Dragunov'\n\n需要轉接器: 'SVDS Brake-Compensator'  
modsilencerco45komegaDesc,"Weight: [4FBE28]0.270kg[-]\nRecoil: [4FBE28]-14%[-]\nErgonomics: [FF4F33]-10%[-]\nHipfire Accuracy: [FF4F33]-10%[-]\nDurability Burn: [FF4F33]+15%[-]\n\nCompatibility: Vector 45, M45A1, M1911, USP 45 Tactical ","重量: [4FBE28]0.270kg[-]\n後座力: [4FBE28]-14%[-]\n人機功效: [FF4F33]-10%[-]\n腰射精準度: [FF4F33]-10%[-]\n耐久度消耗: [FF4F33]+15%[-]\n\n相容性: Vector 45, M45A1, M1911, USP 45 Tactical  "
modsilencerump45btDesc,"Weight: [4FBE28]0.453kg[-]\nRecoil: [4FBE28]-16%[-]\nErgonomics: [FF4F33]-10%[-]\nHipfire Accuracy: [FF4F33]-10%[-]\nDurability Burn: [FF4F33]+15%[-]\n\nCompatibility: UMP-45",重量: [4FBE28]0.453kg[-]\n後座力: [4FBE28]-16%[-]\n人機功效: [FF4F33]-10%[-]\n腰射精準度: [FF4F33]-10%[-]\n耐久度消耗: [FF4F33]+15%[-]\n\n相容性: UMP-45  
modstockttmachinecustomDesc,"Weight: [4FBE28]0.050kg[-]\nErgonomics: [4FBE28]+10%[-]\nHipfire Accuracy: [4FBE28]+25%[-]\nRecoil: [4FBE28]-15%[-]\n\nCompatibility: TT-33 Automatic",重量: [4FBE28]0.050kg[-]\n人機功效: [4FBE28]+10%[-]\n腰射精準度: [4FBE28]+25%[-]\n後座力: [4FBE28]-15%[-]\n\n相容性: TT-33 Automatic  
modstockstechkinwireDesc,"Weight: [4FBE28]0.050kg[-]\nErgonomics: [4FBE28]+10%[-]\nHipfire Accuracy: [4FBE28]+25%[-]\nRecoil: [4FBE28]-17%[-]\n\nCompatibility: Stechkin APS",重量: [4FBE28]0.050kg[-]\n人機功效: [4FBE28]+10%[-]\n腰射精準度: [4FBE28]+25%[-]\n後座力: [4FBE28]-17%[-]\n\n相容性: Stechkin APS  
modstockglockfdglr17Desc,"Weight: [4FBE28]0.050kg[-]\nErgonomics: [4FBE28]+10%[-]\nHipfire Accuracy: [4FBE28]+25%[-]\nRecoil: [4FBE28]-13%[-]\n\nCompatibility: Glock 17 & Glock 18C",重量: [4FBE28]0.050kg[-]\n人機功效: [4FBE28]+10%[-]\n腰射精準度: [4FBE28]+25%[-]\n後座力: [4FBE28]-13%[-]\n\n相容性: Glock 17 & Glock 18C  
modstockmp5kpdwDesc,"Weight: [4FBE28]0.050kg[-]\nErgonomics: [4FBE28]+15%[-]\nHipfire Accuracy: [4FBE28]+15%[-]\nRecoil: [4FBE28]-8%[-]\n\nCompatibility: MP5K",重量: [4FBE28]0.050kg[-]\n人機功效: [4FBE28]+15%[-]\n腰射精準度: [4FBE28]+15%[-]\n後座力: [4FBE28]-8%[-]\n\n相容性: MP5K  
modstockmp5a2Desc,"Weight: [4FBE28]0.400kg[-]\nErgonomics: [4FBE28]+15%[-]\nHipfire Accuracy: [4FBE28]+15%[-]\nRecoil: [4FBE28]-11%[-]\n\nCompatibility: MP5 & MP5SD",重量: [4FBE28]0.400kg[-]\n人機功效: [4FBE28]+15%[-]\n腰射精準度: [4FBE28]+15%[-]\n後座力: [4FBE28]-11%[-]\n\n相容性: MP5 & MP5SD
modstockp90dibuttpadDesc,"Weight: [4FBE28]0.060kg[-]\nErgonomics: [4FBE28]+15%[-]\nHipfire Accuracy: [4FBE28]+15%[-]\nRecoil: [4FBE28]-5%[-]\n\nCompatibility: P90",重量: [4FBE28]0.060kg[-]\n人機功效: [4FBE28]+15%[-]\n腰射精準度: [4FBE28]+15%[-]\n後座力: [4FBE28]-5%[-]\n\n相容性: P90  
modstockakzenitpt1Desc,"Weight: [4FBE28]0.480kg[-]\nErgonomics: [4FBE28]+6%[-]\nHipfire Accuracy: [4FBE28]+6%[-]\nRecoil: [4FBE28]-16%[-]\n\nCompatibility: PP-19-01, AKS-74UN, AK-74N/M, AK-107, AKMN, AK-103, AK-109, Velociraptor, Saiga-12K","重量: [4FBE28]0.480kg[-]\n人機功效: [4FBE28]+6%[-]\n腰射精準度: [4FBE28]+6%[-]\n後座力: [4FBE28]-16%[-]\n\n相容性: PP-19-01, AKS-74UN, AK-74N/M, AK-107, AKMN, AK-103, AK-109, Velociraptor, Saiga-12K  "
modstockakzenitpt3Desc,"Weight: [4FBE28]0.250kg[-]\nErgonomics: [4FBE28]+12%[-]\nHipfire Accuracy: [4FBE28]+12%[-]\nRecoil: [4FBE28]-17%[-]\n\nCompatibility: PP-19-01, AKS-74UN, AK-74N/M, AK-107, AKMN, AK-103, AK-109, Velociraptor, Saiga-12K","重量: [4FBE28]0.250kg[-]\n人機功效: [4FBE28]+12%[-]\n腰射精準度: [4FBE28]+12%[-]\n後座力: [4FBE28]-17%[-]\n\n相容性: PP-19-01, AKS-74UN, AK-74N/M, AK-107, AKMN, AK-103, AK-109, Velociraptor, Saiga-12K  "
modstockakzhukovmagpulDesc,"Weight: [4FBE28]0.430kg[-]\nErgonomics: [4FBE28]+24%[-]\nHipfire Accuracy: [4FBE28]+12%[-]\nRecoil: [4FBE28]-18%[-]\n\nCompatibility: AK-74N, AKMN & AK-103, RD-704","重量: [4FBE28]0.430kg[-]\n人機功效: [4FBE28]+24%[-]\n腰射精準度: [4FBE28]+12%[-]\n後座力: [4FBE28]-18%[-]\n\n相容性: AK-74N, AKMN & AK-103, RD-704  "
modstocka2ar15prsgen2tanDesc,"Weight: [4FBE28]0.950kg[-]\nErgonomics: [4FBE28]+15%[-]\nHipfire Accuracy: [4FBE28]+7.5%[-]\nRecoil: [4FBE28]-14%[-]\n\nCompatibility: Vector 9/45, STM-9, M4A1, M16A4, HK416A5, ST AR-15, FN FAL, M14 SASS, SVDS, Mk-18, RD-704, Mk47, M590A1","重量: [4FBE28]0.950kg[-]\n人機功效: [4FBE28]+15%[-]\n腰射精準度: [4FBE28]+7.5%[-]\n後座力: [4FBE28]-14%[-]\n\n相容性: Vector 9/45, STM-9, M4A1, M16A4, HK416A5, ST AR-15, FN FAL, M14 SASS, SVDS, Mk-18, RD-704, Mk47, M590A1  "
modstocka2ar15prsgen3Desc,"Weight: [4FBE28]0.970kg[-]\nErgonomics: [4FBE28]+20%[-]\nHipfire Accuracy: [4FBE28]+10%[-]\nRecoil: [4FBE28]-14%[-]\n\nCompatibility: AR-15 styled stock. Can fit on many guns.",重量: [4FBE28]0.970kg[-]\n人機功效: [4FBE28]+20%[-]\n腰射精準度: [4FBE28]+10%[-]\n後座力: [4FBE28]-14%[-]\n\n相容性: AR-15 風格槍托。適用於多種槍械。
modstockar15b5precisionDesc,"Weight: [4FBE28]0.350kg[-]\nErgonomics: [4FBE28]+25%[-]\nHipfire Accuracy: [4FBE28]+15%[-]\nRecoil: [4FBE28]-18%[-]\n\nCompatibility: AR-15 styled stock. Can fit on many guns.",重量: [4FBE28]0.350kg[-]\n人機功效: [4FBE28]+25%[-]\n腰射精準度: [4FBE28]+15%[-]\n後座力: [4FBE28]-18%[-]\n\n相容性: AR-15 風格槍托。適用於多種槍械。  
modstockar15troym7a1Desc,"Weight: [4FBE28]0.400kg[-]\nErgonomics: [4FBE28]+10%[-]\nHipfire Accuracy: [4FBE28]+10%[-]\nRecoil: [4FBE28]-8%[-]\n\nCompatibility: Vector 9/45, STM-9, M4A1, M16A4, HK416A5, ST AR-15, FN FAL, RSASS, M14 SASS, SVDS, Mk-18, RD-704, Mk47, M590A1","重量: [4FBE28]0.400kg[-]\n人機功效: [4FBE28]+10%[-]\n腰射精準度: [4FBE28]+10%[-]\n後座力: [4FBE28]-8%[-]\n\n相容性: Vector 9/45, STM-9, M4A1, M16A4, HK416A5, ST AR-15, FN FAL, RSASS, M14 SASS, SVDS, Mk-18, RD-704, Mk47, M590A1  "
modstockar15glcoreDesc,"Weight: [4FBE28]0.461kg[-]\nErgonomics: [4FBE28]+25%[-]\nHipfire Accuracy: [4FBE28]+15%[-]\nRecoil: [4FBE28]-9%[-]\n\nCompatibility: AR-15 styled stock. Can fit on many guns.",重量: [4FBE28]0.461kg[-]\n人機功效: [4FBE28]+25%[-]\n腰射精準度: [4FBE28]+15%[-]\n後座力: [4FBE28]-9%[-]\n\n相容性: AR-15 風格槍托。適用於多種槍械。  
modstockar15acesocomgen4Desc,"Weight: [4FBE28]0.470kg[-]\nErgonomics: [4FBE28]+40%[-]\nHipfire Accuracy: [4FBE28]+20%[-]\nRecoil: [4FBE28]-12%[-]\n\nCompatibility: Vector 9/45, STM-9, M4A1, M16A4, HK416A5, ST AR-15, FN FAL, SR-25, RSASS, M14 SASS, SVDS, Mk-18, RD-704, Mk47, M590A1","重量: [4FBE28]0.470kg[-]\n人機功效: [4FBE28]+40%[-]\n腰射精準度: [4FBE28]+20%[-]\n後座力: [4FBE28]-12%[-]\n\n相容性: Vector 9/45, STM-9, M4A1, M16A4, HK416A5, ST AR-15, FN FAL, SR-25, RSASS, M14 SASS, SVDS, Mk-18, RD-704, Mk47, M590A1  "
modstockar15hke1Desc,"Weight: [4FBE28]0.520kg[-]\nErgonomics: [4FBE28]+12%[-]\nHipfire Accuracy: [4FBE28]+12%[-]\nRecoil: [4FBE28]-13%[-]\n\nCompatibility: AR-15 styled stock. Can fit on many guns.",重量: [4FBE28]0.520kg[-]\n人機功效: [4FBE28]+12%[-]\n腰射精準度: [4FBE28]+12%[-]\n後座力: [4FBE28]-13%[-]\n\n相容性: AR-15 風格槍托。適用於多種槍械。  
modstockar15ergof93proDesc,"Weight: [4FBE28]0.590kg[-]\nErgonomics: [4FBE28]+20%[-]\nHipfire Accuracy: [4FBE28]+20%[-]\nRecoil: [4FBE28]-11%[-]\n\nCompatibility: Vector 9/45, STM-9, M4A1, M16A4, HK416A5, ST AR-15, FN FAL, SR-25, RSASS, M14 SASS, SVDS, Mk-18, RD-704, Mk47, M590A1","重量: [4FBE28]0.590kg[-]\n人機功效: [4FBE28]+20%[-]\n腰射精準度: [4FBE28]+20%[-]\n後座力: [4FBE28]-11%[-]\n\n相容性: Vector 9/45, STM-9, M4A1, M16A4, HK416A5, ST AR-15, FN FAL, SR-25, RSASS, M14 SASS, SVDS, Mk-18, RD-704, Mk47, M590A1  "
modstockIWICarmelErgoDesc,"Weight: [4FBE28]0.500kg[-]\nErgonomics: [4FBE28]+20%[-]\nHipfire Accuracy: [4FBE28]+10%[-]\nRecoil: [4FBE28]-11%[-]\n\nCompatibility: IWI Carmel",重量: [4FBE28]0.500kg[-]\n人機功效: [4FBE28]+20%[-]\n腰射精準度: [4FBE28]+10%[-]\n後座力: [4FBE28]-11%[-]\n\n相容性: IWI Carmel  
modstockfnminimilightweightDesc,"Weight: [4FBE28]0.300kg[-]\nErgonomics: [4FBE28]+25%[-]\nHipfire Accuracy: [4FBE28]+12.5%[-]\nRecoil: [4FBE28]-15%[-]\n\nCompatibility: FN Minimi",重量: [4FBE28]0.300kg[-]\n人機功效: [4FBE28]+25%[-]\n腰射精準度: [4FBE28]+12.5%[-]\n後座力: [4FBE28]-15%[-]\n\n相容性: FN Minimi  
modstocksigtelescopingDesc,"Weight: [4FBE28]0.340kg[-]\nErgonomics: [4FBE28]+40%[-]\nHipfire Accuracy: [4FBE28]+10%[-]\nRecoil: [4FBE28]-10%[-]\n\nCompatibility: SIG MPX/MCX/MCX Spear & SCAR-H",重量: [4FBE28]0.340kg[-]\n人機功效: [4FBE28]+40%[-]\n腰射精準度: [4FBE28]+10%[-]\n後座力: [4FBE28]-10%[-]\n\n相容性: SIG MPX/MCX/MCX Spear & SCAR-H  
modstockmaximcqbDesc,"Weight: [4FBE28]0.500kg[-]\nErgonomics: [4FBE28]+20%[-]\nHipfire Accuracy: [4FBE28]+15%[-]\nRecoil: [4FBE28]-11%[-]\n\nCompatibility: SIG MPX/MCX/MCX Spear & SCAR-H",重量: [4FBE28]0.500kg[-]\n人機功效: [4FBE28]+20%[-]\n腰射精準度: [4FBE28]+15%[-]\n後座力: [4FBE28]-11%[-]\n\n相容性: SIG MPX/MCX/MCX Spear & SCAR-H  
modstockpmmulssDesc,"Weight: [4FBE28]0.460kg[-]\nErgonomics: [4FBE28]+30%[-]\nHipfire Accuracy: [4FBE28]+20%[-]\nRecoil: [4FBE28]-13%[-]\n\nCompatibility: SIG MPX/MCX/MCX Spear & SCAR-H",重量: [4FBE28]0.460kg[-]\n人機功效: [4FBE28]+30%[-]\n腰射精準度: [4FBE28]+20%[-]\n後座力: [4FBE28]-13%[-]\n\n相容性: SIG MPX/MCX/MCX Spear & SCAR-H  
modstockSA58paraSPRDesc,"Weight: [4FBE28]0.950kg[-]\nErgonomics: [4FBE28]+25%[-]\nHipfire Accuracy: [4FBE28]+5%[-]\nRecoil: [4FBE28]-15%[-]\n\nCompatibility: FN FAL",重量: [4FBE28]0.950kg[-]\n人機功效: [4FBE28]+25%[-]\n腰射精準度: [4FBE28]+5%[-]\n後座力: [4FBE28]-15%[-]\n\n相容性: FN FAL  
modstockSA58paraBRSDesc,"Weight: [4FBE28]0.810kg[-]\nErgonomics: [4FBE28]+15%[-]\nHipfire Accuracy: [4FBE28]+15%[-]\nRecoil: [4FBE28]-15%[-]\n\nCompatibility: FN FAL",重量: [4FBE28]0.810kg[-]\n人機功效: [4FBE28]+15%[-]\n腰射精準度: [4FBE28]+15%[-]\n後座力: [4FBE28]-15%[-]\n\n相容性: FN FAL  
modstockVLtorVSS11Desc,"Weight: [4FBE28]0.630kg[-]\nErgonomics: [4FBE28]+25%[-]\nHipfire Accuracy: [4FBE28]+10%[-]\nRecoil: [4FBE28]-13%[-]\n\nCompatibility: SCAR-H",重量: [4FBE28]0.630kg[-]\n人機功效: [4FBE28]+25%[-]\n腰射精準度: [4FBE28]+10%[-]\n後座力: [4FBE28]-13%[-]\n\n相容性: SCAR-H  
modstock417hke2Desc,"Weight: [4FBE28]0.550kg[-]\nErgonomics: [4FBE28]+15%[-]\nHipfire Accuracy: [4FBE28]+20%[-]\nRecoil: [4FBE28]-13%[-]\n\nCompatibility: HK417 & G28",重量: [4FBE28]0.550kg[-]\n人機功效: [4FBE28]+15%[-]\n腰射精準度: [4FBE28]+20%[-]\n後座力: [4FBE28]-13%[-]\n\n相容性: HK417 & G28  
modstockpkzenitpt2Desc,"Weight: [4FBE28]0.640kg[-]\nErgonomics: [4FBE28]+25%[-]\nHipfire Accuracy: [4FBE28]+12.5%[-]\nRecoil: [4FBE28]-11%[-]\n\nCompatibility: PKP Pecheneg",重量: [4FBE28]0.640kg[-]\n人機功效: [4FBE28]+25%[-]\n腰射精準度: [4FBE28]+12.5%[-]\n後座力: [4FBE28]-11%[-]\n\n相容性: PKP Pecheneg  
modstockm3benelliurbinoDesc,"Weight: [4FBE28]1.043kg[-]\nErgonomics: [4FBE28]+10%[-]\nHipfire Accuracy: [4FBE28]+15%[-]\nRecoil: [4FBE28]-15%[-]\n\nCompatibility: M3 Benelli",重量: [4FBE28]1.043kg[-]\n人機功效: [4FBE28]+10%[-]\n腰射精準度: [4FBE28]+15%[-]\n後座力: [4FBE28]-15%[-]\n\n相容性: M3 Benelli  
modstock_ak_izhmash_ak_evoDesc,"Weight: [4FBE28]0.397kg[-]\nErgonomics: [4FBE28]+25%[-]\nHipfire Accuracy: [4FBE28]+25%[-]\nRecoil: [4FBE28]-18%[-]\n\nCompatibility: AKS-74UN, AK-74M, AK-107, AK-109, AK-12, RPK-16, Saiga-12K","重量: [4FBE28]0.397kg[-]\n人機功效: [4FBE28]+25%[-]\n腰射精準度: [4FBE28]+25%[-]\n後座力: [4FBE28]-18%[-]\n\n相容性: AKS-74UN, AK-74M, AK-107, AK-109, AK-12, RPK-16, Saiga-12K  "
modstock_ak_promag_archangel_opfor_aa47Desc,"Weight: [4FBE28]0.39kg[-]\nErgonomics: [4FBE28]+36%[-]\nHipfire Accuracy: [4FBE28]+15%[-]\nRecoil: [4FBE28]-17%[-]\n\nCompatibility: AK-74N, AKMN & AK-103, RD-704, Velociraptor","重量: [4FBE28]0.39kg[-]\n人機功效: [4FBE28]+36%[-]\n腰射精準度: [4FBE28]+15%[-]\n後座力: [4FBE28]-17%[-]\n\n相容性: AK-74N, AKMN & AK-103, RD-704, Velociraptor  "
modstock_ak_hera_arms_cqr47Desc,"Weight: [4FBE28]0.525kg[-]\nErgonomics: [4FBE28]+15%[-]\nHipfire Accuracy: [4FBE28]+15%[-]\nRecoil: [4FBE28]-15%[-]\n\nCompatibility: AK-74N, AKMN & AK-103, RD-704, Velociraptor","重量: [4FBE28]0.525kg[-]\n人機功效: [4FBE28]+15%[-]\n腰射精準度: [4FBE28]+15%[-]\n後座力: [4FBE28]-15%[-]\n\n相容性: AK-74N, AKMN & AK-103, RD-704, Velociraptor  "
