"Key","english",,"german","latam","french","italian","japanese","koreana","polish","brazilian","russian","turkish","schinese","tchinese"
"modGunLaserSightDesc","Weight: [4FBE28]0.12kg[-]\nHipfire Accuracy: [4FBE28]+12.5%[-]\n\nCompatibility: All guns with a side rail\nPress F to activate.",,,,,,,,,,,,,"重量：[4FBE28]0.12kg[-]\n腰射精度：[4FBE28]+12.5%[-]\n\n相容性：所有帶有側軌的槍\n按 F 鍵啟動。"
"modMeleeTemperedBladeDesc","This blade modification increases block damage by [4FBE28]10%[-] and lowers degradation by [4FBE28]15%[-].",,,,,,,,,,,,,"此刀片改造可使格擋傷害提高 [4FBE28]10%[-]，並使退化降低 [4FBE28]15%[-]。"
"modMeleeSerratedBladeDesc","[4FBE28]10%[-] chance to cause a Bleeding Wound on a regular attack.",,,,,,,,,,,,,"[4FBE28]10%[-] 的幾率在普通攻擊中造成流血傷口。"
"modMeleeWeightedHeadDesc","A modification for all melee weapons and tools.\nAdds a chance to stun and slow victims.\nDoes [4FBE28]10%[-] extra damage.\nKnives and machetes do not have a head that can be weighted.",,,,,,,,,,,,,"適用於所有近戰武器和工具的修改版。 \n增加幾率使目標暈眩和減速。 \n造成 [4FBE28]10%[-] 額外傷害。 \n刀具和砍刀沒有可加重的刀頭。"
"modGunMeleeTheHunterDesc","[4FBE28]10%[-] more damage against all targets.",,,,,,,,,,,,,"對所有目標造成 [4FBE28]10%[-] 額外傷害。"
"modMeleeErgonomicGripDesc","Decreases melee stamina usage by [4FBE28]10%[-] and increases weapon handling of bows by [4FBE28]10%[-].",,,,,,,,,,,,,"降低近戰耐力消耗 [4FBE28]10%[-]，並提高弓箭武器操控性 [4FBE28]10%[-]。"
"modMeleeFortifyingGripDesc","When health is below 50% gain [4FBE28]1[-] hit point every 5 seconds.",,,,,,,,,,,,,"當生命值低於 50% 時，每 5 秒獲得 [4FBE28]1[-] 點生命值。"
"modMeleeStructuralBraceDesc","This modification for melee weapons and tools lowers degradation by [4FBE28]25%[-].",,,,,,,,,,,,,"此近戰武器和工具的修改版可將損耗降低 [4FBE28]25%[-]。"
"modMeleeDiamondTipDesc","Any hand tool or bladed weapon degrades [4FBE28]40%[-] slower with this modification.\nYou deal [4FBE28]10%[-] more damage against blocks and targets.",,,,,,,,,,,,,"使用此修改版後，任何手持工具或刀片武器的損耗都會降低 [4FBE28]40%[-]。 \n你對格擋和目標造成的傷害提高 [4FBE28]10%[-]。"
"modMeleeClubBarbedWireDesc","[4FBE28]20%[-] chance to cause bleeding damage, [4FBE28]40%[-] with power attacks.\nCan be installed in clubs.",,,,,,,,,,,,,"[4FBE28]20%[-] 幾率造成出血傷害，[4FBE28]40%[-] 幾率造成強力攻擊。 \n可安裝在棍棒上。"
"modMeleeClubMetalChainDesc","[4FBE28]10%[-] chance to knock down opponents.\nCan be installed in clubs.",,,,,,,,,,,,,"[4FBE28]10%[-] 幾率擊倒對手。 \n可安裝在棍棒上。"
"modMeleeClubMetalSpikesDesc","Each successive hit lowers enemies armor rating [4FBE28]20%[-].\nCan be installed in clubs.",,,,,,,,,,,,,"每次連續攻擊都會降低敵人的護甲等級 [4FBE28]20%[-]。 \n可安裝在棍棒上。"
"modMeleeFiremansAxeModDesc","Deal [4FBE28]25%[-] more damage to blocks and [4FBE28]5%[-] more damage to enemies.",,,,,,,,,,,,,"對方塊造成 [4FBE28]25%[-] 額外傷害，對敵人造成 [4FBE28]5%[-] 額外傷害。"
"modMeleeBunkerBusterDesc","[4FBE28]50%[-] more damage against stone.",,,,,,,,,,,,,"[4FBE28]對石頭造成 [4FBE28]50%[-] 額外傷害。"
"modMeleeWoodSplitterDesc","[4FBE28]50%[-] more damage against wood.",,,,,,,,,,,,,"[4FBE28]對木頭造成 [4FBE28]50%[-] 額外傷害。"
"modMeleeGraveDiggerDesc","[4FBE28]50%[-] more damage against dirt.",,,,,,,,,,,,,"[4FBE28]對泥土造成 [4FBE28]50%[-] 額外傷害。"
"modMeleeIronBreakerDesc","[4FBE28]50%[-] more damage against iron.",,,,,,,,,,,,,"[4FBE28]對鐵造成 [4FBE28]50%[-] 額外傷害。"
"modFuelTankLargeDesc","Increases tank size by [4FBE28]100%[-] for chainsaws and augers.",,,,,,,,,,,,,"將電鋸和螺旋鑽的油箱容量增加 [4FBE28]100%[-]。"
"modFuelTankSmallDesc","Increases tank size by [4FBE28]50%[-] for chainsaws and augers.",,,,,,,,,,,,,"將電鋸和螺旋鑽的油箱容量增加 [4FBE28]50%[-]。"
"modMeleeDiamondTip","[004CFF]Diamond Edge[-]",,,,,,,,,,,,,"[004CFF]鑽石之刃[-]"
"modGunCrippleEm","[004CFF]Cripple 'Em[-]",,,,,,,,,,,,,"[004CFF]致殘[-]"
"modGunCrippleEmDesc","After a hit, zombies will move [4FBE28]30%[-] slower",,,,,,,,,,,,,"受到攻擊後，殭屍移動速度會減慢 [4FBE28]30%[-]"
"modGunMeleeTheHunter","[004CFF]Hunters Secret[-]",,,,,,,,,,,,,"[004CFF]獵人的秘密[-]"
"modGunMeleeTheHunterDesc","[4FBE28]10%[-] more damage against all targets",,,,,,,,,,,,,"[4FBE28]對所有目標造成額外10%[-]的傷害"
"modGunMeleeRadRemover","[004CFF]Radiation Disruptor[-]",,,,,,,,,,,,,"[004CFF]輻射破壞器[-]"
"modFuelTankLarge","[004CFF]Large Fuel Tank[-]",,,,,,,,,,,,,"[004CFF]大型油箱[-]"
"modFuelTankSmall","[09FF00]Extended Fuel Tank[-]",,,,,,,,,,,,,"[09FF00]加長油箱[-]"
"modArmorBandolier","[004CFF]Bandolier[-]",,,,,,,,,,,,,"[004CFF]子彈帶[-]"
"modArmorImprovedFittings","Improved Fittings",,,,,,,,,,,,,"改進的配件"
"modArmorCustomizedFittings","[09FF00]Customized Fittings[-]",,,,,,,,,,,,,"[09FF00]客製化配件[-]"
"modArmorPlatingBasic","Basic Armor Plating",,,,,,,,,,,,,"基礎裝甲板"
"modArmorPlatingReinforced","[09FF00]Reinforced Armor Plating[-]",,,,,,,,,,,,,"[09FF00]強化裝甲板[-]"
"modArmorDoubleStoragePocket","[09FF00]Double Storage Pocket[-]",,,,,,,,,,,,,"[09FF00]雙收納袋[-]"
"modArmorTripleStoragePocket","[004CFF]Tripple Storage Pocket[-]",,,,,,,,,,,,,"[004CFF]三收納袋[-]"
"modArmorQuadStoragePocket","[BB00FF]Quad Storage Pocket[-]",,,,,,,,,,,,,"[BB00FF]四收納袋口袋[-]"
"modArmorMuffledConnectors","[09FF00]Muffled Connectors[-]",,,,,,,,,,,,,"[09FF00]消音連接器[-]"
"modArmorAdvancedMuffledConnectors","[004CFF]Advanced Muffled Connectors[-]",,,,,,,,,,,,,"[004CFF]高階消音連接器[-]"
"modArmorImpactBracing","[09FF00]Impact Bracing[-]",,,,,,,,,,,,,"[09FF00]衝擊支撐[-]"
"modArmorStealthBoots","[09FF00]Stealth Boots[-]",,,,,,,,,,,,,"[09FF00]隱形靴[-]"
"modArmorWaterPurifier","[09FF00]Water Purifier[-]",,,,,,,,,,,,,"[09FF00]淨水器[-]"
"modArmorHelmetLight","Old Helmet Light",,,,,,,,,,,,,"舊式頭盔燈"
"modArmorHelmetLight2","Helmet Light",,,,,,,,,,,,,"頭盔燈"
"modArmorHelmetLight3","[09FF00]'Lumen' Helmet Light[-]",,,,,,,,,,,,,"[09FF00]「流明」頭盔燈[-]"
"modArmorHelmetLightDesc","A old weak light source that can be installed into any head armor.\n\nUse the Light Source ([action:permanent:ToggleFlashlight][action:local:ToggleFlashlight]) action to activate.",,,,,,,,,,,,,"可安裝於任何安全帽的舊式弱光源。 \n\n使用「光源 ([action:permanent:ToggleFlashlight][action:local:ToggleFlashlight])」動作來啟動。"
"modArmorHelmetLight2Desc","A light source that can be installed into any head armor.\n\nUse the Light Source ([action:permanent:ToggleFlashlight][action:local:ToggleFlashlight]) action to activate.",,,,,,,,,,,,,"可安裝於任何頭盔的光源。 \n\n使用「光源 ([action:permanent:ToggleFlashlight][action:local:ToggleFlashlight])」動作來啟動。"
"modArmorHelmetLight3Desc","A very bright light source that can be installed into any head armor.\n\nUse the Light Source ([action:permanent:ToggleFlashlight][action:local:ToggleFlashlight]) action to activate.",,,,,,,,,,,,,"一種非常明亮的光源，可以安裝在任何頭盔上。 \n\n使用光源 ([action:permanent:ToggleFlashlight][action:local:ToggleFlashlight]) 操作來啟動。"
"modArmorNightVision","PVS 7 Gen 2",,,,,,,,,,,,,"PVS 7 Gen 2"
"modArmorNightVision2","[09FF00]PVS 14 Gen 3[-]",,,,,,,,,,,,,"[09FF00]PVS 14 Gen 3[-]"
"modArmorNightVision3","[004CFF]Opsin Digital NVG[-]",,,,,,,,,,,,,"[004CFF]Opsin Digital NVG[-]"
"modArmorNightVisionDesc","See in the dark with this night vision head armor mod.\n\nUse the Light Source action ([action:permanent:ToggleFlashlight][action:local:ToggleFlashlight]) to activate.",,,,,,,,,,,,,"使用這款夜視頭盔改裝件，在黑暗中也能看清物體。 \n\n使用光源運算 ([action:permanent:ToggleFlashlight][action:local:ToggleFlashlight]) 即可啟動。"
"modArmorNightVision2Desc","See in the dark with this night vision head armor mod.\n\nUse the Light Source action ([action:permanent:ToggleFlashlight][action:local:ToggleFlashlight]) to activate.",,,,,,,,,,,,,"使用這款夜視頭盔改裝件，在黑暗中也能看清物體。 \n\n使用光源運算 ([action:permanent:ToggleFlashlight][action:local:ToggleFlashlight]) 即可啟動。"
"modArmorNightVision3Desc","See in the dark with this high tech night vision head armor mod.\n\nUse the Light Source action ([action:permanent:ToggleFlashlight][action:local:ToggleFlashlight]) to activate.",,,,,,,,,,,,,"使用這款高科技夜視頭盔改裝件，在黑暗中也能看清物體。 \n\n使用光源運算 ([action:permanent:ToggleFlashlight][action:local:ToggleFlashlight]) 即可啟動。"
"modArmorCigar","[BB00FF]Cigar[-]",,,,,,,,,,,,,"[BB00FF]雪茄[-]"
"modArmorAgility","[BB00FF]+1 Agility[-]",,,,,,,,,,,,,"[BB00FF]+1 敏捷[-]"
"modArmorFortitude","[BB00FF]+1 Fortitude[-]",,,,,,,,,,,,,"[BB00FF]+1 堅韌[-]"
"modArmorIntellect","[BB00FF]+1 Intellect[-]",,,,,,,,,,,,,"[BB00FF]+1 智力[-]"
"modArmorPerception","[BB00FF]+1 Perception[-]",,,,,,,,,,,,,"[BB00FF]+1 感知[-]"
"modArmorStrength","[BB00FF]+1 Strength[-]",,,,,,,,,,,,,"[BB00FF]+1 力量[-]"
"modGunFlashlight","Tactical Flashlight",,,,,,,,,,,,,"戰術手電筒"
"modGunLaserSight","[09FF00]Tactical Laser[-]",,,,,,,,,,,,,"[09FF00]戰術雷射[-]"
"modGunLaserSightDesc","Weight: [4FBE28]0.12kg[-]\nHipfire Accuracy: [4FBE28]+12%[-]\n\nCompatibility: All guns with a side rail\nPress [D3CE1D]F[-] to activate.",,,,,,,,,,,,,"重量：[4FBE28]0.12kg[-]\n腰射精度：[4FBE28]+12%[-]\n\n相容性：所有帶護欄的槍支\n按 [D3CE1D]F[-] 激活。"
"modbipodrailRexana","[BB00FF]BT10 V8 Atlas Bipod[-]",,,,,,,,,,,,,"[BB00FF]BT10 V8 Atlas 兩腳架[-]"
"modbipodrailRexanaDesc","Weight: [4FBE28]0.310kg[-]\nErgonomics: [FF4F33]-10%[-] / [4FBE28]+25%[-] when deployed\nHipfire Accuracy: [FF4F33]-12%[-]\nRecoil: [4FBE28]-95%[-] when deployed\n\nCompatibility: most firearms",,,,,,,,,,,,,"重量：[4FBE28]0.310kg[-]\n人體工學：展開時 [FF4F33]-10%[-] / [4FBE28]+25%[-]\n腰射精度：[FF4F33]-12%[-]\n後坐力：兼容性-95%[28]"
"modgriphksturmgriff","[09FF00]HK Sturmgriff[-]",,,,,,,,,,,,,"[09FF00]HK Sturmgriff[-]"
"modgriphksturmgriffDesc","Weight: [4FBE28]0.070kg[-]\nErgonomics: [4FBE28]+10%[-]\nHipfire Accuracy: [4FBE28]+5%[-]\n\nCompatibility: General grip fits on most firearms. Some guns without a rail system require a rail handguard to equip grips.",,,,,,,,,,,,,"重量：[4FBE28]0.070kg[-]\n人體工學：[4FBE28]+10%[-]\n腰射精度：[4FBE28]+5%[-]\n\n相容性：通用握把適用於大多數槍械。部分沒有導軌系統的槍枝需要導軌護手才能安裝握把。"
"modgripmagpulrvg","[004CFF]Magpul RVG[-]",,,,,,,,,,,,,"[004CFF]Magpul RVG[-]"
"modgripmagpulrvgDesc","Weight: [4FBE28]0.080kg[-]\nErgonomics: [4FBE28]+20%[-]\nHipfire Accuracy: [4FBE28]+10%[-]\n\nCompatibility: General grip fits on most firearms. Some guns without a rail system require a rail handguard to equip grips.",,,,,,,,,,,,,"重量：[4FBE28]0.080kg[-]\n人體工學：[4FBE28]+20%[-]\n腰射精度：[4FBE28]+10%[-]\n\n相容性：通用握把適用於大多數槍支。部分沒有導軌系統的槍枝需要導軌護手才能安裝握把。"
"modgripzenitrk1","[BB00FF]Zenit RK-1 VG[-]",,,,,,,,,,,,,"[BB00FF]Zenit RK-1 VG[-]"
"modgripzenitrk1Desc","Weight: [4FBE28]0.170kg[-]\nErgonomics: [4FBE28]+30%[-]\nHipfire Accuracy: [4FBE28]+15%[-]\n\nCompatibility: General grip fits on most firearms. Some guns without a rail system require a rail handguard to equip grips.",,,,,,,,,,,,,"重量：[4FBE28]0.170kg[-]\n人體工學：[4FBE28]+30%[-]\n腰射精度：[4FBE28]+15%[-]\n\n相容性：通用握把適用於大多數槍支。部分沒有導軌系統的槍枝需要導軌護手才能安裝握把。"
"modgripzenitb25urk1","[BB00FF]Zenit RK-1 (B-25U)[-]",,,,,,,,,,,,,"[BB00FF]Zenit RK-1 (B-25U)[-]"
"modgripzenitb25urk1Desc","Weight: [4FBE28]0.180kg[-]\nErgonomics: [4FBE28]+25%[-]\nHipfire Accuracy: [4FBE28]+20%[-]\n\nCompatibility: General grip fits on most firearms. Some guns without a rail system require a rail handguard to equip grips.",,,,,,,,,,,,,"重量：[4FBE28]0.180公斤[-]\n人體工學：[4FBE28]+25%[-]\n腰射精度：[4FBE28]+20%[-]\n\n相容性：通用握把適用於大多數槍支。部分沒有導軌系統的槍枝需要導軌護手才能安裝握把。"
"modscopePU3_5x","[09FF00]PU 3.5x Scope[-]",,,,,,,,,,,,,"[09FF00]PU 3.5倍瞄準鏡[-]"
"modscopePU3_5xDesc","Weight: [4FBE28]0.440kg[-]\n\nCompatibility: most firearms",,,,,,,,,,,,,"重量：[4FBE28]0.440公斤[-]\n\n相容：大多數槍械"
"modscopeaimpointAcroP1","[09FF00]Aimpoint ACRO P-1 Reflex Sight[-]",,,,,,,,,,,,,"[09FF00]Aimpoint ACRO P-1反射式瞄準鏡[-]"
"modscopeaimpointAcroP1Desc","Weight: [4FBE28]0.130kg[-]\n\nCompatibility: most firearms",,,,,,,,,,,,,"重量：[4FBE28]0.130公斤[-]\n\n相容：大多數槍械"
"modscopeaimpointAcroP1canted","[09FF00]Aimpoint ACRO P-1 Reflex Sight (Canted)[-]",,,,,,,,,,,,,"[09FF00]Aimpoint ACRO P-1反射式瞄準鏡（傾斜式）[-]"
"modscopeaimpointAcroP1cantedDesc","Weight: [4FBE28]0.130kg[-]\n\nCompatibility: most firearms",,,,,,,,,,,,,"重量：[4FBE28]0.130公斤[-]\n\n相容：大多數槍械"
"modscopeaimpointMicroH2","[09FF00]Aimpoint Micro H2 Reflex Sight[-]",,,,,,,,,,,,,"[09FF00]Aimpoint Micro H2反射式瞄準鏡[-]"
"modscopeaimpointMicroH2Desc","Weight: [4FBE28]0.109kg[-]\n\nCompatibility: most firearms",,,,,,,,,,,,,"重量：[4FBE28]0.109公斤[-]\n\n相容：大多數槍械"
"modscopeaimpointMicroH2canted","[09FF00]Aimpoint Micro H2 Reflex Sight (Canted)[-]",,,,,,,,,,,,,"[09FF00]Aimpoint Micro H2反射式瞄準鏡（傾斜式）[-]"
"modscopeaimpointMicroH2cantedDesc","Weight: [4FBE28]0.109kg[-]\n\nCompatibility: most firearms",,,,,,,,,,,,,"重量： [4FBE28]0.109公斤[-]\n\n相容：大多數槍械"
"modscopeaimpointMicroT1","[09FF00]Aimpoint Micro T1 Reflex Sight[-]",,,,,,,,,,,,,"[09FF00]Aimpoint Micro T1 反射式瞄準鏡[-]"
"modscopeaimpointMicroT1Desc","Weight: [4FBE28]0.099kg[-]\n\nCompatibility: most firearms",,,,,,,,,,,,,"重量：[4FBE28]0.099公斤[-]\n\n相容：大多數槍械"
"modscopeaimpointMicroT1canted","[09FF00]Aimpoint Micro T1 Reflex Sight (Canted)[-]",,,,,,,,,,,,,"[09FF00]Aimpoint Micro T1 反射式瞄準鏡（傾斜式）[-]"
"modscopeaimpointMicroT1cantedDesc","Weight: [4FBE28]0.099kg[-]\n\nCompatibility: most firearms",,,,,,,,,,,,,"重量：[4FBE28]0.099公斤[-]\n\n相容：大多數槍械"
"modscopeBelOMOpk06","[09FF00]BelOMO PK-06 Reflex Sight[-]",,,,,,,,,,,,,"[09FF00]BelOMO PK-06 反射式瞄準鏡[-]"
"modscopeBelOMOpk06Desc","Weight: [4FBE28]0.090kg[-]\n\nCompatibility: most firearms",,,,,,,,,,,,,"重量：[4FBE28]0.090公斤[-]\n\n相容：大多數槍械"
"modscopeBelOMOpk06canted","[09FF00]BelOMO PK-06 Reflex Sight (Canted)[-]",,,,,,,,,,,,,"[09FF00]BelOMO PK-06 反射式瞄準鏡（傾斜式）[-]"
"modscopeBelOMOpk06cantedDesc","Weight: [4FBE28]0.090kg[-]\n\nCompatibility: most firearms",,,,,,,,,,,,,"重量： [4FBE28]0.090公斤[-]\n\n相容：大多數槍械"
"modscopeburrisfastfire","[09FF00]Burris Fastfire Reflex 3 Sight[-]",,,,,,,,,,,,,"[09FF00]Burris Fastfire Reflex 3 瞄準鏡[-]"
"modscopeburrisfastfireDesc","Weight: [4FBE28]0.042kg[-]\n\nCompatibility: most firearms",,,,,,,,,,,,,"重量：[4FBE28]0.042公斤[-]\n\n相容：大多數槍械"
"modscopeburrisfastfirecanted","[09FF00]Burris Fastfire Reflex 3 Sight (Canted)[-]",,,,,,,,,,,,,"[09FF00]Burris Fastfire Reflex 3 瞄準鏡（傾斜式）[-]"
"modscopeburrisfastfirecantedDesc","Weight: [4FBE28]0.042kg[-]\n\nCompatibility: most firearms",,,,,,,,,,,,,"重量：[4FBE28]0.042公斤[-]\n\n相容：大多數槍械"
"modscopeSIGromeo4","[09FF00]SIG SAUER ROMEO 4 Reflex Sight[-]",,,,,,,,,,,,,"[09FF00]SIG SAUER ROMEO 4 反射式瞄準鏡[-]"
"modscopeSIGromeo4Desc","Weight: [4FBE28]0.104kg[-]\n\nCompatibility: most firearms",,,,,,,,,,,,,"重量：[4FBE28]0.104公斤[-]\n\n相容：大多數槍械"
"modscopeSIGromeo4canted","[09FF00]SIG SAUER ROMEO 4 Reflex Sight (Canted)[-]",,,,,,,,,,,,,"[09FF00]SIG SAUER ROMEO 4 反射式瞄準鏡（傾斜式）[-]"
"modscopeSIGromeo4cantedDesc","Weight: [4FBE28]0.104kg[-]\n\nCompatibility: most firearms",,,,,,,,,,,,,"重量： [4FBE28]0.104公斤[-]\n\n相容：大多數槍械"
"modscopeRMR","[09FF00]Trijicon RMR Reflex Sight[-]",,,,,,,,,,,,,"[09FF00]Trijicon RMR 反射瞄準鏡[-]"
"modscopeRMRDesc","Weight: [4FBE28]0.042kg[-]\n\nCompatibility: most firearms",,,,,,,,,,,,,"重量：[4FBE28]0.042公斤[-]\n\n相容：大多數槍械"
"modscopeRMRcanted","[09FF00]Trijicon RMR Reflex Sight (Canted)[-]",,,,,,,,,,,,,"[09FF00]Trijicon RMR 反射式瞄準鏡（傾斜式）[-]"
"modscopeRMRcantedDesc","Weight: [4FBE28]0.042kg[-]\n\nCompatibility: most firearms",,,,,,,,,,,,,"重量：[4FBE28]0.042公斤[-]\n\n相容：大多數槍械"
"modscopeleupolddeltapoint","[09FF00]Leupold DeltaPoint Reflex Sight[-]",,,,,,,,,,,,,"[09FF00]Leupold DeltaPoint 反射瞄準鏡[-]"
"modscopeleupolddeltapointDesc","Weight: [4FBE28]0.098kg[-]\n\nCompatibility: most firearms",,,,,,,,,,,,,"重量：[4FBE28]0.098公斤[-]\n\n相容：大多數槍械"
"modscopeleupolddeltapointcanted","[09FF00]Leupold DeltaPoint Reflex Sight (Canted)[-]",,,,,,,,,,,,,"[09FF00]Leupold DeltaPoint 反射瞄準鏡（傾斜式）[-]"
"modscopeleupolddeltapointcantedDesc","Weight: [4FBE28]0.098kg[-]\n\nCompatibility: most firearms",,,,,,,,,,,,,"重量：[4FBE28]0.098公斤[-]\n\n相容：大多數槍械槍械"
"modscopeAimPointCompM4","[09FF00]AimPoint CompM4 Reflex Sight[-]",,,,,,,,,,,,,"[09FF00]AimPoint CompM4 反射式瞄準鏡[-]"
"modscopeAimPointCompM4Desc","Weight: [4FBE28]0.445kg[-]\n\nCompatibility: most firearms",,,,,,,,,,,,,"重量：[4FBE28]0.445 公斤[-]\n\n相容：大多數槍械"
"modscopeAimPointPro","[09FF00]AimPoint PRO Reflex Sight[-]",,,,,,,,,,,,,"[09FF00]AimPoint PRO 反射式瞄準鏡[-]"
"modscopeAimPointProDesc","Weight: [4FBE28]0.345kg[-]\n\nCompatibility: most firearms",,,,,,,,,,,,,"重量：[4FBE28]0.345 公斤[-]\n\n相容：大多數槍械"
"modscopeaksionEKP818","[09FF00]Aksion Kobra EKP-8-18 Reflex Sight[-]",,,,,,,,,,,,,"[09FF00]Aksion Kobra EKP-8-18 反射式瞄準鏡[-]"
"modscopeaksionEKP818Desc","Weight: [4FBE28]0.270kg[-]\n\nCompatibility: most firearms",,,,,,,,,,,,,"重量：[4FBE28]0.270 公斤[-]\n\n相容：大多數槍械"
"modscopeaksionEKP1s03","[09FF00]Aksion Kobra EKP-1S-03 Reflex Sight Dovetail[-]",,,,,,,,,,,,,"[09FF00]Aksion Kobra EKP-1S-03 反射式瞄準鏡 燕尾槽[-]"
"modscopeaksionEKP1s03Desc","Weight: [4FBE28]0.270kg[-]\n\nCompatibility: most firearms with a dovetail mount",,,,,,,,,,,,,"重量：[4FBE28]0.270 公斤[-]\n\n相容：大多數配備燕尾槽座的槍械"
"modscopeaksionEKP802","[09FF00]Aksion Kobra EKP-8-02 Reflex Sight Dovetail[-]",,,,,,,,,,,,,"[09FF00]Aksion Kobra EKP-8-02 反射式瞄準鏡 燕尾槽[-]"
"modscopeaksionEKP802Desc","Weight: [4FBE28]0.270kg[-]\n\nCompatibility: most firearms with a dovetail mount",,,,,,,,,,,,,"重量：[4FBE28]0.270 公斤[-]\n\n相容：大多數配備燕尾槽座的槍械"
"modscopeBelOMOdovetailPKAA","[09FF00]BelOMO PK-AA Reflex Sight Dovetail[-]",,,,,,,,,,,,,"[09FF00]BelOMO PK-AA 反射式瞄準鏡 燕尾槽[-]"
"modscopeBelOMOdovetailPKAADesc","Weight: [4FBE28]0.450kg[-]\n\nCompatibility: most firearms with a dovetail mount",,,,,,,,,,,,,"重量： [4FBE28]0.450公斤[-]\n\n相容：大多數帶有燕尾槽座的槍械"
"modscopeElcanSpecterHCO","[09FF00]Elcan Specter HCO Holographic Sight[-]",,,,,,,,,,,,,"[09FF00]Elcan Specter HCO 全息瞄準鏡[-]"
"modscopeElcanSpecterHCODesc","Weight: [4FBE28]0.433kg[-]\n\nCompatibility: most firearms",,,,,,,,,,,,,"重量：[4FBE28]0.433公斤[-]\n\n相容：大多數槍械"
"modscopeLeapersUTG","[09FF00]Leapers UTG Reflex Sight[-]",,,,,,,,,,,,,"[09FF00]Leapers UTG 反射瞄準鏡[-]"
"modscopeLeapersUTGDesc","Weight: [4FBE28]0.227kg[-]\n\nCompatibility: most firearms",,,,,,,,,,,,,"重量：[4FBE28]0.227公斤[-]\n\n相容：大多數槍械"
"modscopeNPZPK1","[09FF00]NPZ PK-1 Obzor Reflex Sight Dovetail[-]",,,,,,,,,,,,,"[09FF00]NPZ PK-1 Obzor 反射瞄準鏡 燕尾槽座[-]"
"modscopeNPZPK1Desc","Weight: [4FBE28]0.520kg[-]\n\nCompatibility: most firearms with a dovetail mount",,,,,,,,,,,,,"重量：[4FBE28]0.520公斤[-]\n\n相容：大多數帶有燕尾槽座的槍械"
"modscopeOKP7dovetail","[09FF00]OKP-7 Reflex Sight Dovetail[-]",,,,,,,,,,,,,"[09FF00]OKP-7 反射瞄準鏡 燕尾槽座[-]"
"modscopeOKP7dovetailDesc","Weight: [4FBE28]0.295kg[-]\n\nCompatibility: most firearms with a dovetail mount",,,,,,,,,,,,,"重量： [4FBE28]0.295公斤[-]\n\n相容：大多數帶有燕尾槽座的槍械"
"modscopeSIGRomeo8T","[09FF00]SIG Sauer ROMEO8T Reflex Sight[-]",,,,,,,,,,,,,"[09FF00]SIG Sauer ROMEO8T反射式瞄準鏡[-]"
"modscopeSIGRomeo8TDesc","Weight: [4FBE28]0.388kg[-]\n\nCompatibility: most firearms",,,,,,,,,,,,,"重量：[4FBE28]0.388公斤[-]\n\n相容：大多數槍械"
"modscopeSRS02","[09FF00]Trijicon SRS 02 Reflex Sight[-]",,,,,,,,,,,,,"[09FF00]Trijicon SRS 02反射式瞄準鏡[-]"
"modscopeSRS02Desc","Weight: [4FBE28]0.390kg[-]\n\nCompatibility: most firearms",,,,,,,,,,,,,"重量：[4FBE28]0.390公斤[-]\n\n相容：大多數槍械"
"modscopeValdayKrechet","[09FF00]Valday Krechet Reflex Sight[-]",,,,,,,,,,,,,"[09FF00]Valday Krechet反射式瞄準鏡[-]"
"modscopeValdayKrechetDesc","Weight: [4FBE28]0.350kg[-]\n\nCompatibility: most firearms",,,,,,,,,,,,,"重量：[4FBE28]0.350公斤[-]\n\n相容：大多數槍械"
"modscopeValdayPK120","[09FF00]Valday PK-120 Reflex Sight[-]",,,,,,,,,,,,,"[09FF00]Valday PK-120反射式瞄準鏡[-]"
"modscopeValdayPK120Desc","Weight: [4FBE28]0.297kg[-]\n\nCompatibility: most firearms",,,,,,,,,,,,,"重量： [4FBE28]0.297公斤[-]\n\n相容：大多數槍械"
"modscopeVOMZPiladP1","[09FF00]VOMZ Pilad P1x42 Reflex Sight[-]",,,,,,,,,,,,,"[09FF00]VOMZ Pilad P1x42反射式瞄準鏡[-]"
"modscopeVOMZPiladP1Desc","Weight: [4FBE28]0.297kg[-]\n\nCompatibility: most firearms",,,,,,,,,,,,,"重量：[4FBE28]0.297公斤[-]\n\n相容：大多數槍械"
"modscopeVortexRazorAMGUH1","[09FF00]Vortex Razor AMG UH-1 Reflex Sight[-]",,,,,,,,,,,,,"[09FF00]Vortex Razor AMG UH-1反射式瞄準鏡[-]"
"modscopeVortexRazorAMGUH1Desc","Weight: [4FBE28]0.160kg[-]\n\nCompatibility: most firearms",,,,,,,,,,,,,"重量：[4FBE28]0.160公斤[-]\n\n相容：大多數槍械"
"modscopewalthermrsreflex","[09FF00]Walther MRS Reflex Sight[-]",,,,,,,,,,,,,"[09FF00]Walther MRS反射式瞄準鏡[-]"
"modscopewalthermrsreflexDesc","Weight: [4FBE28]0.113kg[-]\n\nCompatibility: most firearms",,,,,,,,,,,,,"重量：[4FBE28]0.113公斤[-]\n\n相容：大多數槍械"
"modscopeWilcoxBossXeHP","[09FF00]Wilcox BOSS Xe Reflex Sight[-]",,,,,,,,,,,,,"[09FF00]Wilcox BOSS Xe反射式瞄準鏡[-]"
"modscopeWilcoxBossXeHPDesc","Weight: [4FBE28]0.250kg[-]\n\nCompatibility: most firearms",,,,,,,,,,,,,"重量：[4FBE28]0.250公斤[-]\n\n相容：適用於大多數槍械"
